SampleID,DNAmAge,predictedGender
GSM492150,153.3978450392,male
GSM492151,61.7206315959,male
GSM492152,0.3710452022,male
GSM492153,24.6059323666,male
GSM492154,53.1844742228,male
GSM492155,3.709571416,male
GSM492156,158.4204042519,male
GSM492157,151.242285963,male
GSM492158,48.1813263405,male
GSM492159,122.3683224915,male
GSM492160,26.9878225379,male
GSM492161,-0.0756385509,male
GSM492162,3.7233788013,male
GSM492163,174.2822299574,male
GSM492164,102.19780478,male
GSM492165,1.491013724,male
GSM492166,14.9608702919,male
GSM492167,35.0533208617,male
GSM492168,1.9791234773,male
GSM492169,44.3189454829,male
GSM492170,53.5785149519,male
GSM492171,105.5576641456,male
GSM492172,27.0894105883,male
GSM492173,29.7717056993,male
GSM492174,126.0334903925,male
GSM492175,36.2900858057,male
GSM492176,12.9973852703,male
GSM492177,-0.6570083559,male
GSM492178,8.6778198393,male
GSM492179,-0.712362828,male
GSM492180,81.6176224281,male
GSM492181,2.9739447789,male
GSM492182,73.91694532,male
GSM492183,199.9626364869,male
GSM492184,65.8460689209,male
GSM492185,75.6416049651,male
GSM492186,104.0594642958,male
GSM492187,29.746933661,male
GSM492188,-0.8140802129,male
GSM492189,102.1095784215,male
GSM492190,97.8281801859,male
GSM492191,144.7979135059,male
GSM492192,106.7138697953,male
GSM492193,-0.7594944961,male
GSM492194,107.1210204517,male
GSM492195,3.4323193778,male
GSM492196,126.6557941309,male
GSM492197,106.8730251546,male
GSM492198,80.8586893526,male
GSM492199,-0.1290927638,male
GSM492200,1.5681295179,male
GSM492201,163.7561404673,male
GSM492202,85.6829104215,male
GSM492203,46.0456634975,male
GSM492204,-0.0028633463,male
GSM492205,95.518712338,male
GSM492206,36.3525543084,male
GSM492207,120.5306065993,male
GSM492208,79.3244403394,male
GSM492209,41.425538211,male
GSM492210,27.6004180347,male
GSM492211,3.4191953443,male
GSM492212,39.4384566379,male
GSM492213,73.9533223686,male
GSM492214,0.2219470245,male
GSM492215,13.6205203416,male
GSM492216,63.630503904,male
GSM492217,18.5351521815,male
GSM492218,39.837768771,male
GSM492219,117.9109236525,male
GSM492220,54.563618332,male
GSM492221,196.249171079,male
GSM492222,98.1616170085,male
GSM492223,128.2965166553,male
GSM492224,186.0441621465,male
GSM492225,125.3614393314,male
GSM492226,246.779177954,male
GSM492227,96.7570001688,male
GSM492228,0.8451306104,male
GSM492229,19.1911897799,male
GSM492230,75.9112471457,male
GSM492231,14.1566837567,male
GSM492232,6.2217247188,male
GSM492233,26.6394183793,male
GSM492234,1.2446258978,male
GSM492235,62.4622640155,male
GSM492236,82.1540251943,male
GSM492237,7.8849103747,male
GSM492238,70.2380157905,male
GSM492239,123.3881468339,male
GSM492240,143.4837732053,male
GSM492241,64.4483074043,male
GSM492242,99.7310851245,male
GSM492243,11.1036234749,male
GSM492244,73.2956842093,male
GSM492245,53.9187974476,male
GSM492246,81.6873439543,male
GSM492247,-0.3911786425,male
GSM492248,134.0334922114,male
GSM492249,50.9229378128,male
GSM492250,1.8662799377,male
GSM492251,112.034948854,male
GSM492252,54.834644261,male
GSM492253,39.2683442629,male
GSM492254,102.0968111232,male
GSM492255,2.4122000072,male
GSM492256,83.4340919035,male
GSM492257,29.0104338109,male
GSM492258,4.4288335504,male
GSM492259,29.7276265401,male
GSM492260,65.2682599773,male
GSM492261,100.992549408,male
GSM492262,125.4465258747,male
GSM492263,51.3781735726,male
GSM492264,37.5099832618,male
GSM492265,155.7926888673,male
GSM492266,40.2132494784,male
GSM492267,7.0073007243,male
GSM492268,96.4687003292,male
GSM492269,32.0774194216,male
GSM492270,2.8975445541,male
GSM492271,55.2493749745,male
GSM492272,102.7461606028,male
GSM492273,66.7310327257,male
GSM492274,1.3378184181,male
GSM492275,19.0341520109,male
GSM492276,182.0409394782,male
GSM492277,9.1659215821,male
GSM492278,-0.8632401218,male
GSM492279,21.0790744856,male
GSM492280,107.4315432825,male
GSM492281,108.0975059596,male
GSM492282,4.1797144305,male
GSM492283,98.5668628782,male
GSM492284,68.8561298245,male
GSM492285,196.8343723533,male
GSM492286,99.3759936593,male
GSM492287,35.8333916796,male
GSM492288,36.9175641913,male
GSM492289,51.0523696023,male
GSM492290,71.0069381294,male
GSM492291,32.9920231332,male
GSM492292,96.3311705642,male
GSM492293,176.4254046171,male
GSM492294,30.7974217124,male
GSM492295,5.3600159082,male
GSM492296,15.0522427197,male
GSM492297,64.9071661735,male
GSM492298,22.8257537103,male
GSM492299,71.1721806602,male
GSM492300,0.6183161821,male
GSM492301,49.3762808305,male
GSM492302,72.1923003739,male
GSM492303,17.6665611814,male
GSM492304,165.2567574956,male
GSM492305,121.769019932,male
GSM492306,9.7123011815,male
GSM492307,23.2417432894,male
GSM492308,173.998010487,male
GSM492309,31.137273578,male
GSM492310,0.3632015532,male
GSM492311,171.9335127644,male
GSM492312,7.7391606275,male
GSM492313,56.1207818799,male
GSM492314,-0.9419084283,male
GSM492315,96.6381856026,male
GSM492316,39.0386622988,male
GSM492317,59.6086152913,male
GSM492318,-0.403096375,male
GSM492319,0.8494055787,male
GSM492320,94.6530057464,male
GSM492321,14.544574585,male
GSM492322,-0.5712125905,male
GSM492323,20.499676883,male
GSM492324,164.232618864,male
GSM492325,147.7317546698,male
GSM492326,3.4800090136,male
GSM492327,72.9334163655,male
GSM492328,78.9126599763,male
GSM492329,3.0758405332,male
GSM492330,76.4134460876,male
GSM492331,29.8102583751,male
GSM492332,14.9684112022,male
GSM492333,2.6691819812,male
GSM492334,30.831936487,male
GSM492335,38.7713691074,male
GSM492336,105.5804280761,male
GSM492337,156.821553389,male
GSM492338,47.1057149187,male
GSM492339,84.7758616093,male
GSM492340,2.1795135546,male
GSM492341,50.715651098,male
GSM492342,43.7708883642,male
GSM492343,64.6492906945,male
GSM492344,39.4309418615,male
GSM492345,190.3921153767,male
GSM492346,68.564991608,male
GSM492347,47.8441412467,male
GSM492348,36.0660502064,male
GSM492349,54.2552547794,male
GSM492350,58.195743417,male
GSM492351,1.7313402259,male
GSM492352,59.8721460964,male
GSM492353,29.8408499744,male
GSM492354,6.9046338962,male
GSM492355,0.9325605175,male
GSM492356,33.7660393237,male
GSM492357,1.8598637071,male
GSM492358,76.5589061112,male
GSM492359,41.5368771948,male
GSM492360,77.0225231146,male
GSM492361,89.5766248164,male
GSM492362,33.6734879904,male
GSM492363,79.5023954794,male
GSM492364,19.9637935117,male
GSM492365,101.5907807944,male
GSM492366,137.5002599708,male
GSM492367,23.5937369524,male
GSM492368,84.0694987048,male
GSM492369,40.9311133811,male
GSM492370,12.3987604935,male
GSM492371,139.5256019962,male
GSM492372,69.4298338301,male
GSM492373,77.2559740268,male
GSM492374,7.4308716936,male
GSM492375,38.2574427333,male
GSM492376,1.3787426098,male
GSM492377,172.8733244134,male
GSM492378,84.5459385577,male
GSM492379,8.8693216012,male
GSM492380,3.4567255967,male
GSM492381,51.5701921109,male
GSM492382,2.0003366015,male
GSM492383,176.3457265786,male
GSM492384,68.3443074106,male
GSM492385,0.0056189933,male
GSM492386,49.4602339457,male
GSM492387,62.3687986486,male
GSM492388,76.0456148507,male
GSM492389,5.486821393,male
GSM492390,41.9082402394,male
GSM492391,15.2726770892,male
GSM492392,121.1900798929,male
GSM492393,23.1165663171,male
GSM492394,56.4772246005,male
GSM492395,-0.9351201103,male
GSM492396,6.7981566649,male
GSM492397,19.3539858021,male
GSM492398,72.4873069034,male
GSM492399,117.6558560157,male
GSM492400,-0.9158817189,male
GSM492401,133.7058082343,male
GSM492402,140.6126598773,male
GSM492403,67.2533453489,male
GSM492404,93.8885310783,male
GSM492405,75.162211044,male
GSM492406,137.8067844392,male
GSM492407,62.9275324161,male
GSM492408,28.0026833885,male
GSM492409,14.8733287012,male
GSM492410,77.7019888079,male
GSM492411,33.1681982721,male
GSM492412,75.8118360461,male
GSM492413,84.2612797383,male
GSM492414,4.5322677938,male
GSM492415,160.7771576389,male
GSM492416,-0.4754048021,male
GSM492417,44.3318852237,male
GSM492418,157.855301438,male
GSM492419,122.7841825022,male
GSM492420,15.1351516526,male
GSM492421,65.3818449155,male
GSM492422,33.8789741074,male
GSM492423,10.9137315796,male
GSM492424,124.807996942,male
GSM492425,128.0122701989,male
GSM492426,-0.8970667893,male
GSM492427,74.4345682249,male
GSM492428,57.9251322316,male
GSM492429,113.2484216549,male
GSM492430,39.4692956369,male
GSM492431,86.3322143416,male
GSM492432,102.6604497412,male
GSM492433,63.4429038593,male
GSM492434,1.5588560702,male
GSM492435,14.6080624383,male
GSM492436,65.9648568454,male
GSM492437,114.3182899153,male
GSM492438,123.4821199059,male
GSM492439,12.8201686334,male
GSM492440,121.0988579367,male
GSM492441,-0.9379158744,male
GSM492442,85.9080483224,male
GSM492443,67.736144146,male
GSM492444,62.8381464152,male
GSM492445,10.3696383058,male
GSM492446,4.6215490385,male
GSM492447,56.0950669108,male
GSM492448,43.2907669049,male
GSM492449,94.3932273047,male
GSM492450,50.3108486177,male
GSM492451,134.8190321421,male
GSM492452,14.6944778971,male
GSM492453,36.4151419211,male
GSM492454,0.13747215,male
GSM492455,41.40133777,male
GSM492456,92.9012100368,male
GSM492457,87.2659677299,male
GSM492458,22.3158793722,male
GSM492459,14.0512622893,male
GSM492460,89.8829882442,male
GSM492461,51.0480518134,male
GSM492462,75.4914561138,male
GSM492463,7.2625232136,male
GSM492464,115.5578521925,male
GSM492465,11.4502016948,male
GSM492466,176.8606264641,male
GSM492467,40.9581632645,male
GSM492468,50.1724842022,male
GSM492469,80.4365742384,male
GSM492470,17.3775590459,male
GSM492471,9.752440884,male
GSM492472,55.9842645295,male
GSM492473,105.7585064984,male
GSM492474,1.0105266973,male
GSM492475,48.530358101,male
GSM492476,47.8805945537,male
