"","Bcell","CD4T","CD8T","Gran","Mono","NK"
"GSM1218432",0,0.405053467717092,-3.78955669887248e-17,0.386722706259354,0.313168602092943,0.180514422589038
"GSM1218433",0,0.464293101394537,-3.27829404385013e-17,0.330693715108486,0.325926294860741,0.163853304330435
"GSM1218434",2.77555756156289e-17,0.451562740733285,-4.33763506480792e-17,0.366818741284554,0.281694557709736,0.169416343424977
"GSM1218435",0,0.427321541385195,-4.88202453402643e-17,0.417208544747738,0.317902646870954,0.129295164494482
"GSM1218436",0,0.397576924421031,-4.44611205928402e-17,0.410927978020984,0.332864342121972,0.149429376027926
"GSM1218437",0,0.370589071280032,-3.99479111309146e-17,0.480717289139524,0.317642468999608,0.119710619445391
"GSM1218438",0,0.390981460581083,-4.87689857601603e-17,0.385914255571833,0.332621402442105,0.167620864118458
"GSM1218439",2.77555756156289e-17,0.413645504425999,-4.19377153402777e-17,0.393566804621843,0.319494804501586,0.153654764423459
"GSM1218440",0,0.406894239382997,1.77448437768494e-16,0.372654977772071,0.351771476050446,0.151181057116959
"GSM1218441",0,0.324512333889351,-5.78967641668982e-17,0.322907711509438,0.490861470481431,0.0786373076703425
"GSM1218442",0,0.389064138595066,-4.64110389770029e-17,0.469502946704718,0.298432334114699,0.134944891493704
"GSM1218443",0,0.4263074980071,-4.91557174610775e-17,0.382947658554452,0.324999332818792,0.159111776136781
"GSM1218444",0,0.408528926789822,-4.33470559042435e-17,0.398141294853051,0.353660548147034,0.140403326632378
"GSM1218445",0,0.395509737242708,-4.39515423033944e-17,0.423041187290266,0.341219247985362,0.13452975618706
"GSM1218446",0,0.374833367600348,-4.85280213471694e-17,0.451914937375071,0.322771459442639,0.140228704944872
"GSM1218447",0,0.370983540760825,-4.19523911199414e-17,0.414456601019698,0.343355372275398,0.164767991134432
"GSM1218448",0,0.377474560281593,-4.52658543967592e-17,0.459370267049669,0.351928597957609,0.084901477804064
"GSM1218449",0,0.391496025528992,1.78881183436441e-16,0.401040162630197,0.367961532855773,0.12969547930279
"GSM1218450",0,0.453314339469837,-2.43107536173997e-17,0.346755454897273,0.340920450044832,0.126043706986207
"GSM1218451",0,0.430819671979959,-4.25378843348252e-17,0.384053489370288,0.309578679141142,0.163229717529961
"GSM1218452",0,0.392921423653234,-2.6457465142147e-16,0.390022047893976,0.365065583828814,0.134258311108075
"GSM1218453",0,0.4168371997587,-2.63000739150987e-16,0.415969222513292,0.340198238899628,0.136855706314554
"GSM1218454",0,0.419956588098891,-4.87753508848038e-17,0.408428059202395,0.319274595593126,0.14771601027962
"GSM1218455",0,0.408409276981795,1.80119388206731e-16,0.390362927081849,0.38997672845934,0.0878568492768168
"GSM1218456",0,0.352665876273168,1.83925366211271e-16,0.390983878088127,0.396697858921634,0.13422329916048
"GSM1218457",0,0.410710115377347,-4.14625773803846e-17,0.408623325314112,0.325070653256158,0.147972491368673
"GSM1218458",-2.77555756156289e-17,0.411889884735946,-3.92171097771739e-17,0.382661158422404,0.321013549639386,0.170011711996254
"GSM1218459",0,0.426867510372263,-4.59641198849977e-17,0.37560579380703,0.313955737148078,0.152781580858791
"GSM1218460",0,0.357409607187762,-4.50204375476058e-17,0.459205059851047,0.342660246778305,0.126051243490723
"GSM1218461",0,0.331720944191387,-4.49998533651163e-17,0.4889275460636,0.350306362323053,0.0795008647023708
