"","Bcell","CD4T","CD8T","Gran","Mono","NK"
"GSM491937",0,0.343641751634025,-4.31423146309662e-17,0.564088694151907,0.238584125867831,0.154029061803994
"GSM491938",0,0.363757951192843,-3.47887989112958e-17,0.38032215996146,0.291074702593062,0.250420895208259
"GSM491939",0,0.408629904635479,-4.14984355148638e-17,0.438277504947861,0.278842900046191,0.162818419967001
"GSM491940",2.77555756156289e-17,0.404145570190134,-4.58844205103901e-17,0.401360393181641,0.29544266492096,0.192620577470198
"GSM491941",0,0.351315424670695,-4.02915318053105e-17,0.508732520586711,0.275920576188774,0.160350130003575
"GSM491942",-2.77555756156289e-17,0.430066957940764,-3.29009085640085e-17,0.394699794143363,0.305707858158226,0.161675586718082
"GSM491943",0,0.369621731860806,-5.06239738548115e-17,0.435313068904298,0.320029568806943,0.161670377833756
"GSM491944",0,0.401351373755367,-4.38416771697143e-17,0.387769699908468,0.306937909832079,0.189517500076978
"GSM491945",0,0.0978201758578691,-2.62671494313062e-17,0.468868027440915,0.366312649537903,0.32600870101855
"GSM491946",0,0.296289129715034,-4.14215334988517e-17,0.490605827036583,0.311232169183821,0.188049062153328
"GSM491947",0,0.3735840772965,-4.94440941343944e-17,0.413682720898669,0.304020832920289,0.199369865346531
"GSM491948",0,0.327548863363194,-5.4341988439191e-17,0.394000156618368,0.396522126748007,0.155599592517824
"GSM491949",0,0.433401946176981,-4.91734682730398e-17,0.402322966659001,0.287576588999946,0.168595501944044
"GSM491950",0,0.435862826953735,-4.63561539754923e-17,0.431967486864532,0.276006826226918,0.162157265297478
"GSM491951",-2.77555756156289e-17,0.336635856646903,-4.43691272437586e-17,0.480730865946243,0.283848769407786,0.189426585014232
"GSM491952",2.6316493857758e-19,0.298604221647908,-1.68475885955036e-17,0.850638639807734,0,0.13558497795668
"GSM491953",0,0.280195222026126,-3.73831733553191e-17,0.488631389465778,0.303204947733727,0.228366209789751
"GSM491954",0,0.401918650603157,-4.58365923418322e-17,0.439079254779106,0.281960356876531,0.175821402900876
"GSM491955",2.77555756156289e-17,0.404135586455725,-4.68505757659159e-17,0.444508748462821,0.305226970827692,0.139041390034753
"GSM491956",0,0.346268448581642,-4.89658955867798e-17,0.480124980769932,0.285788701277305,0.192022353883592
"GSM491957",0,0.393396863203969,-5.24193456663456e-17,0.462709009589444,0.292654842240021,0.164546074173947
"GSM491958",0,0.3886093165331,-9.90338868862438e-18,0.364285200122813,0.373776323324881,0.203866579235091
"GSM491959",0,0.356258238558418,-5.0042673194579e-17,0.478889500763282,0.30296083954593,0.1657996599553
"GSM491960",0,0.24082764379108,-3.88741630626901e-17,0.55914608725817,0.262082616540219,0.208863937555125
"GSM491961",0,0.388264829335509,-4.2832654265251e-17,0.444637695290232,0.312278556482989,0.1456949839884
"GSM491962",0,0.335719668341345,-4.14201432790104e-17,0.42676651268986,0.350890222615424,0.180281019720941
"GSM491963",0,0.397909848978756,-4.62904630892397e-17,0.40885591589729,0.323340140265447,0.161521192427541
"GSM491964",0,0.265399720562641,-4.09697179295831e-17,0.629752273186028,0.202829950162824,0.183645832158604
"GSM491965",0,0.275666511940463,-3.86945001470766e-17,0.53524383286997,0.291660141692241,0.181058204435509
"GSM491966",0,0.378713622039685,-4.80859103925688e-17,0.421165685876282,0.318222887507288,0.17623631147181
"GSM491967",0,0.402954568479444,-4.07849892061286e-17,0.416769913721956,0.312569060338297,0.162111476639448
"GSM491968",0,0.351015466252007,-4.59988509612409e-17,0.408173412262816,0.366452983279783,0.182607325689418
"GSM491969",0,0.229082353495858,-3.59068755443354e-17,0.394026958860614,0.347105015406188,0.318216799833707
